device_id,event_id,device_phone_brand,device_model,event_timestamp,event_latitude,event_longitude,event_app_id,event_app_installed,event_app_active,app_label_id,app_category,device_group,device_gender,device_age
-9222956879900151005,11281,三星,Galaxy Note 2,2016-05-07 11:36:04,0.00,0.00,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,12679,三星,Galaxy Note 2,2016-05-07 12:18:35,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,49383,三星,Galaxy Note 2,2016-05-07 15:44:45,0.00,0.00,2983357218357029801,1,1,152,reading platform,M32-38,M,36
-9222956879900151005,131849,三星,Galaxy Note 2,2016-05-07 12:06:35,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,205471,三星,Galaxy Note 2,2016-05-06 15:36:46,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,211711,三星,Galaxy Note 2,2016-05-06 21:26:14,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,229069,三星,Galaxy Note 2,2016-05-06 15:34:19,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,229087,三星,Galaxy Note 2,2016-05-06 15:33:50,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,289564,三星,Galaxy Note 2,2016-05-06 21:26:44,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,341279,三星,Galaxy Note 2,2016-05-07 07:03:34,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,375846,三星,Galaxy Note 2,2016-05-07 12:16:59,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,379329,三星,Galaxy Note 2,2016-05-06 15:40:43,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,420594,三星,Galaxy Note 2,2016-05-06 15:38:31,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,446042,三星,Galaxy Note 2,2016-05-07 11:48:33,23.19,113.24,3717049149426646122,1,0,183,map,M32-38,M,36
-9222956879900151005,450249,三星,Galaxy Note 2,2016-05-07 11:55:51,23.19,113.24,3717049149426646122,1,0,183,map,M32-38,M,36
-9222956879900151005,514596,三星,Galaxy Note 2,2016-05-07 12:17:29,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,519594,三星,Galaxy Note 2,2016-05-06 15:35:28,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,554351,三星,Galaxy Note 2,2016-05-06 15:34:16,0.00,0.00,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,605546,三星,Galaxy Note 2,2016-05-07 13:38:25,0.00,0.00,-6799509164833422300,1,1,1007,P2P net loan,M32-38,M,36
-9222956879900151005,661623,三星,Galaxy Note 2,2016-05-07 11:47:06,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,662820,三星,Galaxy Note 2,2016-05-07 12:04:46,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,673137,三星,Galaxy Note 2,2016-05-07 13:35:40,23.19,113.24,-1633898464341100366,1,1,1007,P2P net loan,M32-38,M,36
-9222956879900151005,753238,三星,Galaxy Note 2,2016-05-06 20:49:05,0.00,0.00,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,796155,三星,Galaxy Note 2,2016-05-06 15:37:40,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,802322,三星,Galaxy Note 2,2016-05-06 21:31:20,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,802324,三星,Galaxy Note 2,2016-05-06 21:27:44,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,926370,三星,Galaxy Note 2,2016-05-07 11:45:15,23.19,113.24,3717049149426646122,1,0,183,map,M32-38,M,36
-9222956879900151005,957441,三星,Galaxy Note 2,2016-05-07 12:10:52,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,1068103,三星,Galaxy Note 2,2016-05-06 15:34:58,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,1117996,三星,Galaxy Note 2,2016-05-07 12:06:07,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,1180629,三星,Galaxy Note 2,2016-05-06 15:31:56,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,1180650,三星,Galaxy Note 2,2016-05-06 15:43:51,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,1315995,三星,Galaxy Note 2,2016-05-06 15:42:15,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,1481001,三星,Galaxy Note 2,2016-05-06 15:34:54,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,1620692,三星,Galaxy Note 2,2016-05-06 20:42:50,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,1650018,三星,Galaxy Note 2,2016-05-06 15:32:26,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,1687118,三星,Galaxy Note 2,2016-05-06 15:39:42,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,1699936,三星,Galaxy Note 2,2016-05-06 21:55:29,23.19,113.24,-6799509164833422300,1,1,1007,P2P net loan,M32-38,M,36
-9222956879900151005,1721318,三星,Galaxy Note 2,2016-05-07 14:57:06,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,1747268,三星,Galaxy Note 2,2016-05-07 12:07:06,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,1772031,三星,Galaxy Note 2,2016-05-07 11:35:20,0.00,0.00,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,1794538,三星,Galaxy Note 2,2016-05-07 07:04:04,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2068832,三星,Galaxy Note 2,2016-05-07 12:20:13,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2084996,三星,Galaxy Note 2,2016-05-06 15:34:42,0.00,0.00,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,2085015,三星,Galaxy Note 2,2016-05-06 15:33:24,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2085017,三星,Galaxy Note 2,2016-05-06 15:41:40,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2111353,三星,Galaxy Note 2,2016-05-07 12:09:01,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2112609,三星,Galaxy Note 2,2016-05-07 13:38:45,0.00,0.00,-6799509164833422300,1,1,1007,P2P net loan,M32-38,M,36
-9222956879900151005,2121199,三星,Galaxy Note 2,2016-05-06 20:49:39,0.00,0.00,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,2156737,三星,Galaxy Note 2,2016-05-07 14:49:24,0.00,0.00,-6799509164833422300,1,1,1007,P2P net loan,M32-38,M,36
-9222956879900151005,2158246,三星,Galaxy Note 2,2016-05-07 15:39:24,0.00,0.00,2983357218357029801,1,1,152,reading platform,M32-38,M,36
-9222956879900151005,2213933,三星,Galaxy Note 2,2016-05-06 15:39:44,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2425797,三星,Galaxy Note 2,2016-05-07 11:54:59,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2463851,三星,Galaxy Note 2,2016-05-06 21:28:47,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,2517595,三星,Galaxy Note 2,2016-05-07 12:09:01,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,2700015,三星,Galaxy Note 2,2016-05-07 12:04:50,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,2700016,三星,Galaxy Note 2,2016-05-07 12:00:42,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2728961,三星,Galaxy Note 2,2016-05-07 14:22:50,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,2744517,三星,Galaxy Note 2,2016-05-06 20:40:14,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,2792271,三星,Galaxy Note 2,2016-05-07 23:12:19,23.19,113.24,3717049149426646122,1,1,183,map,M32-38,M,36
-9222956879900151005,2792272,三星,Galaxy Note 2,2016-05-07 23:15:07,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2792274,三星,Galaxy Note 2,2016-05-07 23:16:48,0.00,0.00,-6799509164833422300,1,1,1007,P2P net loan,M32-38,M,36
-9222956879900151005,2807359,三星,Galaxy Note 2,2016-05-06 15:32:54,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2831619,三星,Galaxy Note 2,2016-05-07 14:23:19,23.19,113.24,XXX,XXX,XXX,XXX,XXX,M32-38,M,36
-9222956879900151005,2946562,三星,Galaxy Note 2,2016-05-07 14:50:16,0.00,0.00,-6799509164833422300,1,1,1007,P2P net loan,M32-38,M,36
-9222661944218806987,118332,vivo,Y913,2016-05-04 21:58:07,0.00,0.00,-790408166733700925,1,1,128,online malls,XXX,XXX,XXX
-9222661944218806987,1048506,vivo,Y913,2016-05-05 19:04:48,0.00,0.00,242515674746466978,1,1,548,Industry tag,XXX,XXX,XXX
-9222661944218806987,1787011,vivo,Y913,2016-05-02 22:20:30,0.00,0.00,-790408166733700925,1,1,128,online malls,XXX,XXX,XXX
-9222661944218806987,1909145,vivo,Y913,2016-05-01 18:42:50,0.00,0.00,8253533661389545512,1,1,548,Industry tag,XXX,XXX,XXX
-9222661944218806987,2129003,vivo,Y913,2016-05-07 18:52:25,0.00,0.00,4348659952760821294,1,1,262,Pay,XXX,XXX,XXX
-9222661944218806987,2163095,vivo,Y913,2016-05-06 18:36:57,0.00,0.00,4348659952760821294,1,0,262,Pay,XXX,XXX,XXX
-9222661944218806987,2404661,vivo,Y913,2016-05-01 00:40:57,0.00,0.00,-1496780918078400356,1,1,548,Industry tag,XXX,XXX,XXX
-9222661944218806987,3072680,vivo,Y913,2016-05-03 18:28:26,0.00,0.00,8253533661389545512,1,1,548,Industry tag,XXX,XXX,XXX
-9222399302879214035,277135,小米,MI 3,2016-05-04 11:00:24,0.00,0.00,7729370441341293772,1,0,166,weibo,XXX,XXX,XXX
-9222399302879214035,279385,小米,MI 3,2016-05-02 13:15:54,0.00,0.00,7729370441341293772,1,0,166,weibo,XXX,XXX,XXX
-9222399302879214035,399338,小米,MI 3,2016-05-03 23:39:18,0.00,0.00,7729370441341293772,1,0,166,weibo,XXX,XXX,XXX
-9222399302879214035,1023783,小米,MI 3,2016-05-06 21:21:26,0.00,0.00,7729370441341293772,1,0,166,weibo,XXX,XXX,XXX
-9222399302879214035,1338494,小米,MI 3,2016-05-04 13:33:33,0.00,0.00,7729370441341293772,1,0,166,weibo,XXX,XXX,XXX
-9222399302879214035,1982051,小米,MI 3,2016-05-04 23:38:22,0.00,0.00,1088227414300337900,1,1,1007,P2P net loan,XXX,XXX,XXX
-9222399302879214035,2207287,小米,MI 3,2016-05-04 10:42:39,0.00,0.00,7729370441341293772,1,0,166,weibo,XXX,XXX,XXX
-9222399302879214035,2211280,小米,MI 3,2016-05-04 13:31:34,0.00,0.00,7729370441341293772,1,0,166,weibo,XXX,XXX,XXX
-9222399302879214035,2466125,小米,MI 3,2016-05-03 23:40:10,0.00,0.00,7729370441341293772,1,0,166,weibo,XXX,XXX,XXX
-9222399302879214035,3176471,小米,MI 3,2016-05-02 13:12:58,0.00,0.00,7729370441341293772,1,0,166,weibo,XXX,XXX,XXX
-9221825537663503111,74539,华为,荣耀畅玩4C,2016-05-07 07:52:34,33.63,113.36,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
-9221825537663503111,74542,华为,荣耀畅玩4C,2016-05-07 07:54:27,33.63,113.36,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
-9221825537663503111,83976,华为,荣耀畅玩4C,2016-05-06 07:08:30,33.62,113.36,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
-9221825537663503111,84716,华为,荣耀畅玩4C,2016-05-01 08:50:11,34.92,113.48,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
-9221825537663503111,85158,华为,荣耀畅玩4C,2016-05-05 13:33:32,33.63,113.36,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
